Data,Ryzyko_RF,Prawd_RF,Ryzyko_LSTM,Prawd_LSTM,Alert_Systemowy
2021-07-28,niskie,0.085,niskie,0.154,NIE
2021-07-29,niskie,0.053,niskie,0.02,NIE
2021-07-30,niskie,0.053,niskie,0.016,NIE
2021-07-31,niskie,0.023,niskie,0.019,NIE
2021-08-01,niskie,0.034,niskie,0.034,NIE
2021-08-02,niskie,0.055,niskie,0.035,NIE
2021-08-03,niskie,0.058,niskie,0.029,NIE
2021-08-04,niskie,0.038,niskie,0.015,NIE
2021-08-05,niskie,0.027,niskie,0.018,NIE
2021-08-06,niskie,0.113,niskie,0.027,NIE
2021-08-07,niskie,0.049,niskie,0.028,NIE
2021-08-08,niskie,0.151,niskie,0.283,NIE
2021-08-09,niskie,0.173,średnie,0.514,NIE
2021-08-10,niskie,0.113,niskie,0.177,NIE
2021-08-11,niskie,0.09,niskie,0.116,NIE
2021-08-12,niskie,0.037,niskie,0.094,NIE
2021-08-13,niskie,0.062,niskie,0.04,NIE
2021-08-14,niskie,0.039,niskie,0.039,NIE
2021-08-15,niskie,0.076,niskie,0.027,NIE
2021-08-16,niskie,0.063,niskie,0.051,NIE
2021-08-17,niskie,0.066,niskie,0.044,NIE
2021-08-18,niskie,0.06,niskie,0.083,NIE
2021-08-19,niskie,0.085,niskie,0.175,NIE
2021-08-20,niskie,0.087,niskie,0.118,NIE
2021-08-21,niskie,0.089,niskie,0.045,NIE
2021-08-22,niskie,0.076,niskie,0.016,NIE
2021-08-23,niskie,0.055,niskie,0.012,NIE
2021-08-24,niskie,0.055,niskie,0.008,NIE
2021-08-25,niskie,0.277,niskie,0.171,NIE
2021-08-26,niskie,0.373,średnie,0.59,NIE
2021-08-27,niskie,0.358,wysokie,0.662,TAK
2021-08-28,niskie,0.283,średnie,0.515,NIE
2021-08-29,niskie,0.336,średnie,0.504,NIE
2021-08-30,niskie,0.343,średnie,0.547,NIE
2021-08-31,niskie,0.325,niskie,0.388,NIE
2021-09-01,niskie,0.178,niskie,0.233,NIE
2021-09-02,niskie,0.069,niskie,0.066,NIE
2021-09-03,niskie,0.034,niskie,0.051,NIE
2021-09-04,niskie,0.037,niskie,0.081,NIE
2021-09-05,niskie,0.04,niskie,0.039,NIE
2021-09-06,niskie,0.032,niskie,0.023,NIE
2021-09-07,niskie,0.02,niskie,0.025,NIE
2021-09-08,niskie,0.033,niskie,0.047,NIE
2021-09-09,niskie,0.053,niskie,0.11,NIE
2021-09-10,niskie,0.04,niskie,0.093,NIE
2021-09-11,niskie,0.101,niskie,0.217,NIE
2021-09-12,niskie,0.137,niskie,0.43,NIE
2021-09-13,niskie,0.142,niskie,0.267,NIE
2021-09-14,niskie,0.096,niskie,0.141,NIE
2021-09-15,niskie,0.057,niskie,0.074,NIE
2021-09-16,niskie,0.219,niskie,0.122,NIE
2021-09-17,niskie,0.299,niskie,0.173,NIE
2021-09-18,niskie,0.309,niskie,0.214,NIE
2021-09-19,niskie,0.182,niskie,0.159,NIE
2021-09-20,niskie,0.095,niskie,0.145,NIE
2021-09-21,niskie,0.061,niskie,0.113,NIE
2021-09-22,niskie,0.07,niskie,0.081,NIE
2021-09-23,niskie,0.351,niskie,0.467,NIE
2021-09-24,niskie,0.295,średnie,0.606,NIE
2021-09-25,niskie,0.217,średnie,0.628,NIE
2021-09-26,niskie,0.13,średnie,0.547,NIE
2021-09-27,niskie,0.051,niskie,0.312,NIE
2021-09-28,niskie,0.043,niskie,0.262,NIE
2021-09-29,niskie,0.061,niskie,0.198,NIE
2021-09-30,niskie,0.152,niskie,0.181,NIE
2021-10-01,niskie,0.12,niskie,0.11,NIE
2021-10-02,niskie,0.125,niskie,0.235,NIE
2021-10-03,niskie,0.074,niskie,0.303,NIE
2021-10-04,niskie,0.126,niskie,0.305,NIE
2021-10-05,niskie,0.126,niskie,0.38,NIE
2021-10-06,niskie,0.477,średnie,0.62,NIE
2021-10-07,niskie,0.42,średnie,0.518,NIE
2021-10-08,niskie,0.268,niskie,0.273,NIE
2021-10-09,niskie,0.219,niskie,0.087,NIE
2021-10-10,niskie,0.225,niskie,0.158,NIE
2021-10-11,niskie,0.403,średnie,0.529,NIE
2021-10-12,niskie,0.271,średnie,0.604,NIE
2021-10-13,niskie,0.456,średnie,0.535,NIE
2021-10-14,niskie,0.292,niskie,0.292,NIE
