Data,ryzyko,prawdopodobienstwo,kierunek,epizod_rzeczywisty
2022-11-19,niskie,0.327,↓,0
2022-11-20,niskie,0.323,↓,0
2022-11-21,niskie,0.109,↓,0
2022-11-22,niskie,0.027,↓,0
2022-11-23,niskie,0.013,↓,0
2022-11-24,niskie,0.007,↓,0
2022-11-25,niskie,0.005,↓,0
2022-11-26,niskie,0.008,↑,0
2022-11-27,niskie,0.005,↓,0
2022-11-28,niskie,0.01,↑,0
2022-11-29,niskie,0.016,↑,0
2022-11-30,niskie,0.017,↑,0
2022-12-01,niskie,0.014,↓,0
2022-12-02,niskie,0.014,↓,0
2022-12-03,niskie,0.016,↑,0
2022-12-04,niskie,0.014,↓,0
2022-12-05,niskie,0.022,↑,0
2022-12-06,niskie,0.051,↑,0
2022-12-07,niskie,0.156,↑,0
2022-12-08,niskie,0.141,↓,0
2022-12-09,niskie,0.047,↓,0
2022-12-10,niskie,0.017,↓,0
2022-12-11,niskie,0.04,↑,0
2022-12-12,niskie,0.072,↑,0
2022-12-13,niskie,0.037,↓,0
2022-12-14,niskie,0.011,↓,0
2022-12-15,niskie,0.024,↑,0
2022-12-16,niskie,0.037,↑,0
2022-12-17,niskie,0.069,↑,0
2022-12-18,niskie,0.024,↓,0
2022-12-19,niskie,0.088,↑,0
2022-12-20,niskie,0.229,↑,0
2022-12-21,średnie,0.55,↑,0
2022-12-22,wysokie,0.686,↑,0
2022-12-23,wysokie,0.792,↑,0
2022-12-24,wysokie,0.806,↑,0
2022-12-25,średnie,0.625,↓,0
2022-12-26,wysokie,0.656,↑,0
2022-12-27,wysokie,0.679,↑,0
2022-12-28,wysokie,0.772,↑,0
2022-12-29,wysokie,0.793,↑,0
2022-12-30,wysokie,0.789,↓,0
2022-12-31,wysokie,0.769,↓,0
2023-01-01,wysokie,0.825,↑,0
2023-01-02,wysokie,0.657,↓,0
2023-01-03,wysokie,0.659,↑,0
2023-01-04,wysokie,0.792,↑,0
2023-01-05,wysokie,0.885,↑,1
2023-01-06,wysokie,0.933,↑,0
2023-01-07,wysokie,0.895,↓,0
2023-01-08,wysokie,0.897,↑,0
2023-01-09,wysokie,0.908,↑,0
2023-01-10,wysokie,0.927,↑,0
2023-01-11,wysokie,0.844,↓,0
2023-01-12,wysokie,0.736,↓,0
2023-01-13,wysokie,0.818,↑,0
2023-01-14,wysokie,0.836,↑,0
2023-01-15,wysokie,0.825,↓,0
2023-01-16,wysokie,0.852,↑,0
2023-01-17,wysokie,0.824,↓,0
2023-01-18,wysokie,0.727,↓,0
2023-01-19,średnie,0.532,↓,0
2023-01-20,niskie,0.444,↓,0
2023-01-21,niskie,0.45,↑,0
2023-01-22,niskie,0.364,↓,0
2023-01-23,niskie,0.282,↓,0
2023-01-24,niskie,0.195,↓,0
2023-01-25,niskie,0.448,↑,0
2023-01-26,średnie,0.579,↑,0
2023-01-27,niskie,0.494,↓,0
2023-01-28,niskie,0.165,↓,0
2023-01-29,niskie,0.167,↑,0
2023-01-30,średnie,0.525,↑,0
2023-01-31,wysokie,0.696,↑,0
2023-02-01,średnie,0.577,↓,0
2023-02-02,wysokie,0.782,↑,1
2023-02-03,wysokie,0.846,↑,1
2023-02-04,wysokie,0.93,↑,1
2023-02-05,wysokie,0.758,↓,0
2023-02-06,niskie,0.497,↓,0
2023-02-07,niskie,0.379,↓,0
2023-02-08,niskie,0.31,↓,0
2023-02-09,niskie,0.348,↑,0
2023-02-10,niskie,0.32,↓,0
2023-02-11,niskie,0.279,↓,0
2023-02-12,niskie,0.126,↓,0
2023-02-13,niskie,0.119,↓,0
2023-02-14,niskie,0.087,↓,0
2023-02-15,niskie,0.302,↑,0
2023-02-16,niskie,0.257,↓,0
2023-02-17,wysokie,0.715,↑,0
2023-02-18,wysokie,0.781,↑,1
2023-02-19,wysokie,0.836,↑,1
2023-02-20,wysokie,0.906,↑,1
2023-02-21,wysokie,0.93,↑,1
2023-02-22,wysokie,0.898,↓,1
2023-02-23,wysokie,0.89,↓,0
2023-02-24,wysokie,0.812,↓,0
2023-02-25,wysokie,0.826,↑,0
2023-02-26,wysokie,0.886,↑,1
2023-02-27,średnie,0.568,↓,0
2023-02-28,niskie,0.411,↓,0
2023-03-01,niskie,0.461,↑,0
2023-03-02,niskie,0.464,↑,0
2023-03-03,średnie,0.521,↑,0
2023-03-04,średnie,0.612,↑,1
2023-03-05,średnie,0.592,↓,0
2023-03-06,niskie,0.246,↓,0
2023-03-07,niskie,0.261,↑,0
2023-03-08,niskie,0.09,↓,0
2023-03-09,niskie,0.023,↓,0
2023-03-10,niskie,0.065,↑,0
2023-03-11,niskie,0.121,↑,0
2023-03-12,niskie,0.169,↑,0
2023-03-13,średnie,0.561,↑,0
2023-03-14,średnie,0.613,↑,0
2023-03-15,wysokie,0.806,↑,0
2023-03-16,wysokie,0.765,↓,0
2023-03-17,średnie,0.53,↓,0
2023-03-18,niskie,0.467,↓,0
2023-03-19,niskie,0.411,↓,0
2023-03-20,niskie,0.314,↓,0
2023-03-21,niskie,0.183,↓,0
2023-03-22,niskie,0.231,↑,0
2023-03-23,niskie,0.367,↑,0
2023-03-24,niskie,0.377,↑,0
2023-03-25,niskie,0.319,↓,0
2023-03-26,niskie,0.34,↑,0
2023-03-27,niskie,0.296,↓,0
2023-03-28,niskie,0.288,↓,0
2023-03-29,niskie,0.117,↓,0
2023-03-30,niskie,0.25,↑,0
2023-03-31,niskie,0.432,↑,0
2023-04-01,średnie,0.555,↑,0
2023-04-02,średnie,0.581,↑,0
2023-04-03,niskie,0.393,↓,0
2023-04-04,niskie,0.353,↓,0
2023-04-05,niskie,0.312,↓,0
2023-04-06,niskie,0.098,↓,0
2023-04-07,niskie,0.119,↑,0
2023-04-08,niskie,0.088,↓,0
2023-04-09,niskie,0.016,↓,0
2023-04-10,niskie,0.018,↑,0
2023-04-11,niskie,0.078,↑,0
2023-04-12,niskie,0.116,↑,0
2023-04-13,niskie,0.147,↑,0
2023-04-14,niskie,0.079,↓,0
2023-04-15,niskie,0.066,↓,0
2023-04-16,niskie,0.105,↑,0
2023-04-17,niskie,0.061,↓,0
2023-04-18,niskie,0.017,↓,0
2023-04-19,niskie,0.041,↑,0
2023-04-20,niskie,0.024,↓,0
2023-04-21,niskie,0.048,↑,0
2023-04-22,niskie,0.063,↑,0
2023-04-23,niskie,0.083,↑,0
2023-04-24,niskie,0.138,↑,0
2023-04-25,niskie,0.119,↓,0
2023-04-26,niskie,0.055,↓,0
2023-04-27,niskie,0.045,↓,0
2023-04-28,niskie,0.021,↓,0
2023-04-29,niskie,0.03,↑,0
2023-04-30,niskie,0.024,↓,0
2023-05-01,niskie,0.029,↑,0
2023-05-02,niskie,0.088,↑,0
2023-05-03,niskie,0.097,↑,0
2023-05-04,niskie,0.055,↓,0
2023-05-05,niskie,0.04,↓,0
2023-05-06,niskie,0.038,↓,0
2023-05-07,niskie,0.021,↓,0
2023-05-08,niskie,0.007,↓,0
2023-05-09,niskie,0.009,↑,0
2023-05-10,niskie,0.015,↑,0
2023-05-11,niskie,0.008,↓,0
2023-05-12,niskie,0.006,↓,0
2023-05-13,niskie,0.005,↓,0
2023-05-14,niskie,0.012,↑,0
2023-05-15,niskie,0.282,↑,0
2023-05-16,niskie,0.417,↑,0
2023-05-17,niskie,0.438,↑,0
2023-05-18,niskie,0.268,↓,0
2023-05-19,niskie,0.144,↓,0
2023-05-20,niskie,0.109,↓,0
2023-05-21,niskie,0.059,↓,0
2023-05-22,niskie,0.035,↓,0
2023-05-23,niskie,0.04,↑,0
2023-05-24,niskie,0.037,↓,0
2023-05-25,niskie,0.024,↓,0
2023-05-26,niskie,0.02,↓,0
2023-05-27,niskie,0.014,↓,0
2023-05-28,niskie,0.022,↑,0
2023-05-29,niskie,0.021,↓,0
2023-05-30,niskie,0.018,↓,0
2023-05-31,niskie,0.03,↑,0
2023-06-01,niskie,0.048,↑,0
2023-06-02,niskie,0.079,↑,0
2023-06-03,niskie,0.037,↓,0
2023-06-04,niskie,0.021,↓,0
2023-06-05,niskie,0.017,↓,0
2023-06-06,niskie,0.02,↑,0
2023-06-07,niskie,0.012,↓,0
2023-06-08,niskie,0.012,↓,0
2023-06-09,niskie,0.045,↑,0
2023-06-10,niskie,0.074,↑,0
2023-06-11,niskie,0.029,↓,0
2023-06-12,niskie,0.018,↓,0
2023-06-13,niskie,0.015,↓,0
2023-06-14,niskie,0.013,↓,0
2023-06-15,niskie,0.026,↑,0
2023-06-16,niskie,0.028,↑,0
2023-06-17,niskie,0.027,↓,0
2023-06-18,niskie,0.02,↓,0
2023-06-19,niskie,0.015,↓,0
2023-06-20,niskie,0.014,↓,0
2023-06-21,niskie,0.013,↓,0
2023-06-22,niskie,0.012,↓,0
2023-06-23,niskie,0.014,↑,0
2023-06-24,niskie,0.013,↓,0
2023-06-25,niskie,0.013,↓,0
2023-06-26,niskie,0.025,↑,0
2023-06-27,niskie,0.109,↑,0
2023-06-28,niskie,0.293,↑,0
2023-06-29,niskie,0.169,↓,0
2023-06-30,niskie,0.183,↑,0
2023-07-01,niskie,0.254,↑,0
2023-07-02,niskie,0.21,↓,0
2023-07-03,niskie,0.116,↓,0
2023-07-04,niskie,0.083,↓,0
2023-07-05,niskie,0.209,↑,0
2023-07-06,niskie,0.291,↑,0
2023-07-07,niskie,0.155,↓,0
2023-07-08,niskie,0.065,↓,0
2023-07-09,niskie,0.033,↓,0
2023-07-10,niskie,0.044,↑,0
2023-07-11,niskie,0.056,↑,0
2023-07-12,niskie,0.166,↑,0
2023-07-13,niskie,0.162,↓,0
2023-07-14,niskie,0.108,↓,0
2023-07-15,niskie,0.077,↓,0
2023-07-16,niskie,0.071,↓,0
