Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-05-06,wiosna,niskie,0.05,cos_doy,spadek,0.05,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-05-07,wiosna,niskie,0.039,cos_doy,spadek,0.039,cos_doy – models ocenia ryzyko wezbrania na 4%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 4%.,0,0,0,0
2022-05-08,wiosna,niskie,0.084,cos_doy,wzrost,0.084,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2022-05-09,wiosna,niskie,0.124,cos_doy,wzrost,0.124,cos_doy – models ocenia ryzyko wezbrania na 12%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2022-05-10,wiosna,niskie,0.241,cos_doy,wzrost,0.241,cos_doy – models ocenia ryzyko wezbrania na 24%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 24%.,0,0,0,0
2022-05-11,wiosna,niskie,0.201,cos_doy,spadek,0.201,cos_doy – models ocenia ryzyko wezbrania na 20%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 20%.,0,0,0,0
2022-05-12,wiosna,niskie,0.246,cos_doy,wzrost,0.246,cos_doy – models ocenia ryzyko wezbrania na 25%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 25%.,0,0,0,0
2022-05-13,wiosna,niskie,0.076,cos_doy,spadek,0.076,cos_doy – models ocenia ryzyko wezbrania na 8%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2022-05-14,wiosna,niskie,0.111,cos_doy,wzrost,0.111,cos_doy – models ocenia ryzyko wezbrania na 11%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 11%.,0,0,0,0
2022-05-15,wiosna,niskie,0.098,cos_doy,spadek,0.098,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-05-16,wiosna,niskie,0.039,cos_doy,spadek,0.039,cos_doy – models ocenia ryzyko wezbrania na 4%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 4%.,0,0,0,0
2022-05-17,wiosna,niskie,0.067,cos_doy,wzrost,0.067,cos_doy – models ocenia ryzyko wezbrania na 7%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2022-05-18,wiosna,niskie,0.045,cos_doy,spadek,0.045,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
