Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2024-08-28,lato,niskie,0.046,cos_doy,↑,0.046,cos_doy – model ocenia ryzyko wezbrania na 5%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2024-08-29,lato,niskie,0.051,cos_doy,↑,0.051,cos_doy – model ocenia ryzyko wezbrania na 5%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2024-08-30,lato,niskie,0.053,cos_doy,↑,0.053,cos_doy – model ocenia ryzyko wezbrania na 5%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2024-08-31,lato,niskie,0.077,cos_doy,↑,0.077,cos_doy – model ocenia ryzyko wezbrania na 8%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 8%.,0,0,0,0
2024-09-01,jesien,niskie,0.126,cos_doy,↑,0.126,cos_doy – model ocenia ryzyko wezbrania na 13%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2024-09-02,jesien,niskie,0.018,cos_doy,↓,0.018,cos_doy – model ocenia ryzyko wezbrania na 2%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2024-09-03,jesien,niskie,0.019,cos_doy,↑,0.019,cos_doy – model ocenia ryzyko wezbrania na 2%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2024-09-04,jesien,niskie,0.022,cos_doy,↑,0.022,cos_doy – model ocenia ryzyko wezbrania na 2%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2024-09-05,jesien,niskie,0.017,cos_doy,↓,0.017,cos_doy – model ocenia ryzyko wezbrania na 2%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2024-09-06,jesien,niskie,0.01,cos_doy,↓,0.01,cos_doy – model ocenia ryzyko wezbrania na 1%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 1%.,0,0,0,0
